"","Unique.location","Acanthurus nigrofuscus","Chlorurus sordidus","Ctenochaetus binotatus","Ctenochaetus striatus","Naso lituratus","Pomacentrus bankanensis","Scarus niger","unident wrasse","Zebrasoma scopas","NA"
"208","72.b5",1,0,0,4,0,0,0,0,0,0
"209","72.b6",13,0,0,13,0,0,0,0,1,0
"210","72.b7",1,0,0,7,0,0,0,0,0,0
"211","72.b8",25,0,0,9,0,0,0,0,0,0
"212","72.b9",6,0,0,0,0,0,0,0,0,0
"213","72.c1",4,0,0,11,0,0,0,0,0,0
"214","72.c2",1,0,0,3,0,0,0,0,0,0
"215","72.c3",1,0,0,6,0,0,0,0,1,0
"216","72.c5",1,0,0,9,0,0,0,0,1,0
"217","72.c7",0,0,0,6,0,0,0,0,3,0
"218","72.c8",6,0,0,7,0,0,0,0,0,0
"219","72.c9",3,0,0,2,0,0,0,0,0,0
"220","72.d1",1,0,0,2,0,0,0,0,0,0
"221","72.d2",4,0,0,12,0,0,0,0,3,0
"222","72.d3",2,0,0,2,0,0,0,0,0,0
"223","72.d4",5,0,0,5,0,0,0,0,0,0
"224","72.d5",0,0,0,7,0,0,0,0,0,0
"225","72.d6",4,0,0,9,0,0,0,0,0,0
"226","72.d8",4,0,0,4,0,0,0,0,1,0
"227","72.d9",1,0,0,0,0,0,0,0,0,0
"228","72.e1",0,0,0,4,0,0,0,0,0,0
"229","72.e2",0,0,0,0,0,0,0,0,1,0
"230","72.e3",2,0,0,11,0,0,0,0,3,0
"231","72.e4",0,0,0,3,0,0,0,0,0,0
"232","72.e5",1,0,0,1,0,0,0,0,0,0
"233","72.e6",0,0,0,2,0,0,0,0,0,0
"234","72.e7",0,0,0,8,0,0,0,0,0,0
"235","72.e8",0,0,0,2,0,0,0,0,0,0
"236","72.f1",2,0,0,7,0,0,0,0,3,0
"237","72.f2",4,0,0,7,0,0,0,0,9,0
"238","72.f3",0,0,0,1,0,0,0,0,0,0
"239","72.f4",2,0,0,8,0,0,0,0,2,0
"240","72.f5",0,0,0,4,0,0,0,0,0,0
"241","72.f6",5,0,0,7,0,0,0,0,0,0
"242","72.f8",3,0,0,7,0,0,0,0,1,0
"243","72.g1",4,0,0,6,0,0,0,0,3,0
"244","72.g2",0,0,0,3,0,0,0,0,0,0
"245","72.g3",2,0,0,8,0,0,0,0,1,0
"246","72.g5",0,0,0,5,0,0,0,0,2,0
"247","72.g6",0,0,0,0,0,0,0,0,2,0
"248","72.g7",8,0,0,12,0,0,0,0,4,0
"249","72.h1",0,0,0,4,0,0,0,0,3,0
"250","72.h2",23,0,0,6,0,0,0,0,2,0
"251","72.h3",1,0,0,1,0,0,0,0,2,0
"252","72.h4",2,0,0,6,0,0,0,0,4,0
"253","72.h5",0,0,0,2,0,0,0,0,0,0
"254","72.h6",1,0,0,9,0,0,0,0,1,0
"255","72.h7",2,0,0,5,0,0,0,0,0,0
"256","72.h8",1,0,0,10,0,0,0,0,0,0
"257","72.i2",3,0,0,0,0,0,0,0,0,0
"258","72.i3",2,0,0,0,0,0,0,0,0,0
"259","72.i4",0,0,0,4,0,0,0,0,0,0
"260","72.i5",0,0,0,5,0,0,0,0,0,0
"261","72.i6",0,0,0,4,0,0,0,0,0,0
"262","72.i7",1,0,0,6,0,0,0,0,0,0
"263","73.NA",0,0,0,0,0,0,0,0,0,0
"264","74.b2",0,0,0,0,0,0,1,0,0,0
"265","74.b4",0,0,0,0,0,0,1,0,0,0
"266","74.b5",0,0,0,0,0,0,1,0,0,0
"267","74.b8",0,0,0,0,0,0,1,0,0,0
"268","74.c3",0,0,0,0,0,0,1,0,0,0
"269","74.c6",0,0,0,0,0,0,1,0,0,0
"270","74.d2",0,0,0,0,0,0,2,0,0,0
"271","74.d3",0,0,0,0,0,0,1,0,0,0
"272","74.d5",0,0,0,0,0,0,1,0,0,0
"273","74.d8",0,0,0,0,0,0,1,0,0,0
"274","74.e7",0,0,0,0,0,0,1,0,0,0
"275","74.f4",0,0,0,0,0,0,1,0,0,0
"276","74.g3",0,0,0,0,0,0,2,0,0,0
"277","74.g7",0,0,0,0,0,0,1,0,0,0
"278","74.g8",0,0,0,0,0,1,0,0,0,0
"279","74.g9",0,0,0,0,0,0,0,0,0,0
"280","78.NA",0,0,0,0,0,0,0,0,0,0
"281","79.b6",0,0,0,0,0,0,4,0,0,0
"282","79.c5",0,0,0,0,0,0,1,0,0,0
"283","79.c7",0,0,0,0,0,0,4,0,0,0
"284","79.d4",0,0,0,0,0,0,4,0,0,0
"285","79.d6",0,0,0,0,0,0,4,0,0,0
"286","79.e3",0,0,0,0,0,0,1,0,0,0
"287","79.e7",0,0,0,0,0,0,2,0,0,0
"288","79.f2",0,0,0,0,0,0,2,0,0,0
"289","79.f8",0,0,0,0,0,0,1,0,0,0
"290","79.h6",0,0,0,0,0,0,1,0,0,0
"291","79.h8",0,0,0,0,0,0,1,0,0,0
"292","8.NA",0,0,0,0,0,0,0,0,0,0
"293","80.b2",0,0,0,0,2,0,0,0,0,0
"294","80.b4",0,0,4,0,5,0,0,0,0,0
"295","80.b6",0,0,0,0,5,0,0,0,0,0
"296","80.b8",0,0,0,0,2,0,0,0,0,0
"297","80.c1",0,0,0,0,1,0,0,0,0,0
"298","80.c4",0,0,1,0,0,0,0,0,0,0
"299","80.c6",0,0,0,0,2,0,0,0,0,0
"300","80.c7",0,0,0,0,1,0,0,0,0,0
"301","80.d1",0,0,0,0,1,0,0,0,0,0
"302","80.d2",0,0,1,0,2,0,0,0,0,0
"303","80.d3",0,0,2,0,2,0,0,1,0,0
"304","80.d7",0,0,0,0,1,0,0,0,0,0
"305","80.d8",0,0,0,0,2,0,0,0,0,0
"306","80.e1",0,0,1,0,0,0,0,0,0,0
"307","80.e2",0,0,1,0,0,0,0,0,0,0
"308","80.e3",0,0,6,0,2,0,0,1,0,0
"309","80.e4",0,0,1,0,0,0,0,0,0,0
"310","80.f2",0,0,5,0,6,0,0,0,0,0
"311","80.f3",0,0,1,0,0,0,0,0,0,0
"312","80.f4",0,0,6,0,0,0,0,1,0,0
"313","80.f5",0,0,4,0,0,0,0,0,0,0
"314","80.f6",0,0,2,0,0,0,0,0,0,0
"315","80.f8",0,0,0,0,1,0,0,0,0,0
"316","80.g1",0,0,0,0,3,0,0,0,0,0
"317","80.g3",0,0,6,0,0,0,0,0,0,0
"318","80.g4",0,0,0,0,0,0,0,2,0,0
"319","80.g5",0,0,3,0,0,0,0,0,0,0
"320","80.g7",0,5,2,0,1,0,0,0,0,0
"321","80.g8",0,1,0,0,0,0,0,0,0,0
"322","80.h2",0,15,0,0,6,0,0,0,0,0
"323","80.h4",0,7,2,0,3,0,0,0,0,0
"324","80.h6",0,7,11,0,1,0,0,0,0,0
"325","80.h7",0,3,0,0,0,0,0,0,0,0
"326","80.h8",0,11,0,0,2,0,0,0,0,0
"327","80.i3",0,0,0,0,1,0,0,0,0,0
"328","80.i4",0,0,2,0,0,0,0,0,0,0
"329","80.i5",0,1,0,0,0,0,0,0,0,0
"330","NA.NA",0,0,0,0,0,0,0,0,0,0
