Date,Reef,Video_code,colour,Species,Individual,fishlength.cm,tile.kind,tile.number,Location,number.bites,length.video.h:min:sec
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,14,13,large,71,b9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,c2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,c2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,c2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,43,16,large,71,c2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,c3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,c3,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,c3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Zebrasoma scopas,19,10,large,71,c3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Acanthurus nigrofuscus,38,9,large,71,c3,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,c4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large,71,c4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,c4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,9,13,large,71,c4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,23,9,large,71,c4,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Acanthurus nigrofuscus,26,9,large,71,c4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,34,9,large,71,c4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Zebrasoma scopas,19,10,large,71,c4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Zebrasoma scopas,35,10,large,71,c4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,c5,1,0:26:05
