colour.in.videos,tile.number,Treatment,Crevice.kind,Location,Unique.location,number.LOB.before,number.otherMA.before,number.unknown.before,number.Lob.after,number.otherMA.after,number.unknown.after,number.LOB.removed,number.otherMA.removed,number.unknown.removed
green,45,caged control,large,a1,45.a1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a2,45.a2,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a3,45.a3,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a4,45.a4,1,0,0,1,0,0,0,0,0
green,45,caged control,large,a5,45.a5,0,1,0,0,1,0,0,0,0
green,45,caged control,large,a6,45.a6,2,0,0,2,0,0,0,0,0
green,45,caged control,large,a7,45.a7,0,1,0,0,1,0,0,0,0
green,45,caged control,large,a8,45.a8,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a9,45.a9,0,0,0,0,0,0,0,0,0
green,45,caged control,large,b1,45.b1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,b2,45.b2,1,3,0,0,3,0,1,0,0
green,45,caged control,large,b3,45.b3,2,4,0,2,4,0,0,0,0
green,45,caged control,large,b4,45.b4,0,2,0,0,2,0,0,0,0
green,45,caged control,large,b5,45.b5,1,2,0,1,2,0,0,0,0
green,45,caged control,large,b6,45.b6,0,4,0,0,4,0,0,0,0
green,45,caged control,large,b7,45.b7,0,8,0,0,8,0,0,0,0
green,45,caged control,large,b8,45.b8,0,9,0,0,9,0,0,0,0
green,45,caged control,large,b9,45.b9,0,0,0,0,0,0,0,0,0
green,45,caged control,large,c1,45.c1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,c2,45.c2,0,2,0,0,2,0,0,0,0
green,45,caged control,large,c3,45.c3,0,1,0,0,1,0,0,0,0
green,45,caged control,large,c4,45.c4,1,3,0,0,3,0,1,0,0
green,45,caged control,large,c5,45.c5,0,0,0,0,0,0,0,0,0
green,45,caged control,large,c6,45.c6,1,1,0,1,1,0,0,0,0
green,45,caged control,large,c7,45.c7,0,5,0,0,5,0,0,0,0
green,45,caged control,large,c8,45.c8,1,1,0,1,1,0,0,0,0
green,45,caged control,large,c9,45.c9,0,1,0,0,1,0,0,0,0
green,45,caged control,large,d1,45.d1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,d2,45.d2,0,6,0,0,6,0,0,0,0
green,45,caged control,large,d3,45.d3,1,1,0,1,1,0,0,0,0
green,45,caged control,large,d4,45.d4,0,7,0,0,7,0,0,0,0
green,45,caged control,large,d5,45.d5,1,3,0,1,3,0,0,0,0
green,45,caged control,large,d6,45.d6,0,2,0,0,2,0,0,0,0
green,45,caged control,large,d7,45.d7,0,0,0,0,0,0,0,0,0
green,45,caged control,large,d8,45.d8,0,6,0,0,6,0,0,0,0
green,45,caged control,large,d9,45.d9,0,0,0,0,0,0,0,0,0
green,45,caged control,large,e1,45.e1,1,0,0,0,0,0,1,0,0
green,45,caged control,large,e2,45.e2,1,2,0,1,2,0,0,0,0
green,45,caged control,large,e3,45.e3,0,0,0,0,0,0,0,0,0
green,45,caged control,large,e4,45.e4,0,5,0,0,5,0,0,0,0
green,45,caged control,large,e5,45.e5,0,3,0,0,3,0,0,0,0
green,45,caged control,large,e6,45.e6,0,4,0,0,4,0,0,0,0
green,45,caged control,large,e7,45.e7,0,5,0,0,4,0,0,1,0
green,45,caged control,large,e8,45.e8,1,1,0,1,1,0,0,0,0
green,45,caged control,large,e9,45.e9,0,0,0,0,0,0,0,0,0
green,45,caged control,large,f1,45.f1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,f2,45.f2,0,1,0,0,1,0,0,0,0
green,45,caged control,large,f3,45.f3,1,1,0,1,1,0,0,0,0
