Tile.kind,Location,Location.kind,tile.number
small,b7,opencrevice,18
small,c2,opencrevice,18
small,c8,opencrevice,18
small,e2,opencrevice,18
small,e8,opencrevice,18
small,g2,opencrevice,18
small,g8,opencrevice,18
small,b3,opencrevice,6
small,b5,opencrevice,6
small,b7,opencrevice,6
small,c2,opencrevice,6
small,c8,opencrevice,6
small,e2,opencrevice,6
small,e8,opencrevice,6
small,g2,opencrevice,6
small,g8,opencrevice,6
large.more,d3,othercrevice,71
large.more,f3,othercrevice,71
large.more,g4,othercrevice,71
large.more,g6,othercrevice,71
large.less,f3,othercrevice,80
large.less,f7,othercrevice,80
large.less,g4,othercrevice,80
large.less,g6,othercrevice,80
large.less,f3,othercrevice,74
large.less,f7,othercrevice,74
large.less,g4,othercrevice,74
large.less,g6,othercrevice,74
medium,d5,othercrevice,107
medium,e4,othercrevice,107
medium,e5,othercrevice,107
medium,e6,othercrevice,107
medium,f5,othercrevice,107
medium,d5,othercrevice,79
medium,e4,othercrevice,79
medium,e5,othercrevice,79
medium,e6,othercrevice,79
medium,f5,othercrevice,79
medium,d5,othercrevice,44
medium,e4,othercrevice,44
medium,e5,othercrevice,44
medium,e6,othercrevice,44
medium,f5,othercrevice,44
small,d5,othercrevice,72
small,e4,othercrevice,72
small,e5,othercrevice,72
small,e6,othercrevice,72
small,f5,othercrevice,72
small,d5,othercrevice,6
small,e4,othercrevice,6
small,e5,othercrevice,6
small,e6,othercrevice,6
small,f5,othercrevice,6
small,d5,othercrevice,18
small,e4,othercrevice,18
small,e5,othercrevice,18
small,e6,othercrevice,18
small,f5,othercrevice,18
large.more,a1,outside,71
large.more,a2,outside,71
large.more,a3,outside,71
large.more,a4,outside,71
large.more,a5,outside,71
large.more,a6,outside,71
large.more,a7,outside,71
large.more,a8,outside,71
large.more,a9,outside,71
large.more,b1,outside,71
large.more,b9,outside,71
large.more,c1,outside,71
large.more,c9,outside,71
large.more,d1,outside,71
large.more,d9,outside,71
large.more,e1,outside,71
large.more,e9,outside,71
large.more,f1,outside,71
large.more,f9,outside,71
large.more,g1,outside,71
large.more,g9,outside,71
large.more,h1,outside,71
large.more,h9,outside,71
large.more,i1,outside,71
large.more,i2,outside,71
large.more,i3,outside,71
large.more,i4,outside,71
large.more,i5,outside,71
large.more,i6,outside,71
large.more,i7,outside,71
large.more,i8,outside,71
large.more,i9,outside,71
large.less,a1,outside,80
large.less,a2,outside,80
large.less,a3,outside,80
large.less,a4,outside,80
large.less,a5,outside,80
large.less,a6,outside,80
large.less,a7,outside,80
large.less,a8,outside,80
large.less,a9,outside,80
large.less,b1,outside,80
large.less,b9,outside,80
large.less,c1,outside,80
large.less,c9,outside,80
large.less,d1,outside,80
large.less,d9,outside,80
large.less,e1,outside,80
large.less,e9,outside,80
large.less,f1,outside,80
large.less,f9,outside,80
large.less,g1,outside,80
large.less,g9,outside,80
large.less,h1,outside,80
large.less,h9,outside,80
large.less,i1,outside,80
large.less,i2,outside,80
large.less,i3,outside,80
large.less,i4,outside,80
large.less,i5,outside,80
large.less,i6,outside,80
large.less,i7,outside,80
large.less,i8,outside,80
large.less,i9,outside,80
large.less,a1,outside,74
large.less,a2,outside,74
large.less,a3,outside,74
large.less,a4,outside,74
large.less,a5,outside,74
