,Reef,Treatment,Genus,Species,Genus.species,Individual,Species.Code,Indiviual.code,Body.length,tile.kind,crown,outside,targetcrevice,opencrevice,othercrevice,Video_code,ColourCode,tile.number,video.length.min.sec.,video.length.min,comment,Area.crown.cm2,Area.target.cm2,Area.other.cm2,Area.open.cm2,Area.outside.cm2,Date,colour,Location,NA
1,Lighthouse Reef,Lob growth,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,27,Anigro,Anigro27,8,large crevice,11,1,0,0,0,1green#4,1 green,27,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
2,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,26,Anigro,Anigro26,8,large crevice,2,0,4,4,0,1green3white#6,1 green + 3 white,30,5.45,5.75,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
3,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,25,Anigro,Anigro25,10,large crevice,0,1,0,1,0,1green3white#3,1 green + 3 white,30,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
4,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,13,Anigro,Anigro13,8,large crevice,5,0,0,4,0,1red3white#1,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
5,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,16,Anigro,Anigro16,8,large crevice,11,6,0,0,0,1red3white#2,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
6,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,18,Anigro,Anigro18,10,large crevice,9,9,0,0,0,1red3white#2,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
7,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,19,Anigro,Anigro19,9,large crevice,3,0,0,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
8,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,large crevice,3,10,0,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
9,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,large crevice,2,2,0,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
10,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,large crevice,2,0,2,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
11,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,9,medium crevice,5,2,0,0,0,1red3white#6,1 red + 3 white,9.2,12.46,12.76,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
12,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,24,Anigro,Anigro24,8,medium crevice,3,3,0,0,0,1red3white#6,1 red + 3 white,9.2,12.46,12.76,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
13,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,9,Anigro,Anigro9,8,medium crevice,10,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
14,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,11,Anigro,Anigro11,8,medium crevice,7,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
15,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,12,Anigro,Anigro12,8,medium crevice,11,3,0,4,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
16,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,14,Anigro,Anigro14,9,medium crevice,2,1,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
17,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,15,Anigro,Anigro15,10,medium crevice,2,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
18,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,17,Anigro,Anigro17,10,medium crevice,8,0,1,0,0,1red3white#2,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
19,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,19,Anigro,Anigro19,9,medium crevice,22,15,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
20,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,19,Anigro,Anigro19,9,medium crevice,11,0,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
21,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,20,Anigro,Anigro20,8,medium crevice,6,0,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
22,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,medium crevice,33,2,0,1,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
23,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,medium crevice,7,13,0,3,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
24,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,medium crevice,18,5,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
25,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,medium crevice,12,0,1,1,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
26,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,9,small crevice,10,0,0,0,0,1red3white#6,1 red + 3 white,87.2,12.46,12.76,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
27,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,23,Anigro,Anigro23,10,small crevice,0,6,0,0,0,1red3white#6,1 red + 3 white,87.2,12.46,12.76,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
28,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,9,Anigro,Anigro9,8,small crevice,1,0,0,0,0,1red3white#1,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
29,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,10,Anigro,Anigro10,9,small crevice,0,3,0,0,0,1red3white#1,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
30,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,15,Anigro,Anigro15,10,small crevice,4,0,0,5,0,1red3white#1,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
31,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,16,Anigro,Anigro16,8,small crevice,5,0,0,0,0,1red3white#2,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
32,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,17,Anigro,Anigro17,10,small crevice,8,3,0,2,0,1red3white#2,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
33,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,18,Anigro,Anigro18,10,small crevice,10,5,0,0,0,1red3white#2,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
34,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,small crevice,18,19,0,6,0,1red3white#5,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
35,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,small crevice,1,0,0,0,0,1red3white#5,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
36,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,small crevice,2,0,0,0,0,1red3white#5,1 red + 3 white,87.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
37,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,8,Anigro,Anigro8,8,large crevice,0,2,0,0,0,1yellow3white#6,1yellow+3white,22,16.11,16.18,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
38,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,1,Anigro,Anigro1,9,large crevice,1,0,0,0,0,1yellow3white#4,1yellow+3white,22,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
39,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,2,Anigro,Anigro2,10,large crevice,0,2,0,0,0,1yellow3white#4,1yellow+3white,22,26.05,26.083,,40.32,15.49736,9,18,89.18264,NA,NA,NA,NA
40,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,8,Anigro,Anigro8,8,medium crevice,0,2,2,0,0,1yellow3white#6,1yellow+3white,23,16.11,16.18,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
41,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,1,Anigro,Anigro1,9,medium crevice,1,2,0,0,8,1yellow3white#4,1yellow+3white,23,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
42,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,3,Anigro,Anigro3,9,medium crevice,21,0,0,0,0,1yellow3white#4,1yellow+3white,23,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
43,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,4,Anigro,Anigro4,9,medium crevice,4,2,0,0,0,1yellow3white#4,1yellow+3white,23,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
44,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,5,Anigro,Anigro5,9,medium crevice,18,0,0,0,0,1yellow3white#4,1yellow+3white,23,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
45,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,7,Anigro,Anigro7,9,medium crevice,6,0,0,0,5,1yellow3white#5,1yellow+3white,23,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA,NA
46,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,8,Anigro,Anigro8,8,small crevice,8,17,0,0,0,1yellow3white#6,1yellow+3white,24,16.11,16.18,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
47,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,6,Anigro,Anigro6,9,small crevice,0,3,0,0,0,1yellow3white#5,1yellow+3white,24,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,NA
48,Lighthouse Reef,Lob growth,blenny,sp,blenny,60,blen,blen60,2,large crevice,10,0,0,61,49,1black#1,1 black,84.2,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
49,Lighthouse Reef,Lob growth,blenny,sp,blenny,60,blen,blen60,2,large crevice,16,0,0,0,85,1black#1,1 black,NA,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
50,Lighthouse Reef,Lob growth,blenny,sp,blenny,60,blen,blen60,2,large crevice,3,0,0,17,5,1black#2,1 black,84.2,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
51,Lighthouse Reef,Lob growth,blenny,sp,blenny,61,blen,blen61,4,large crevice,17,0,39,0,0,1black#2,1 black,84.2,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
52,Lighthouse Reef,Lob growth,blenny,sp,blenny,62,blen,blen62,2,large crevice,18,0,0,1,4,1black#2,1 black,84.2,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
53,Lighthouse Reef,Lob growth,blenny,sp,blenny,61,blen,blen61,4,large crevice,10,0,1,10,2,1black#2,1 black,84.2,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
54,Lighthouse Reef,Lob growth,blenny,sp,blenny,62,blen,blen62,2,large crevice,14,0,0,0,23,1black#2,1 black,84.2,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
55,Lighthouse Reef,Lob growth,blenny,sp,blenny,61,blen,blen61,4,large crevice,6,0,0,7,7,1black#2,1 black,84.2,26.05,26.083,,37.44,15.49736,9,18,92.06264,NA,NA,NA,NA
