"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"54","44.g1","Acanthurus nigrofuscus",7,"red",44,"accessible","medium","g1",0,1,0,0,1,0,0,0,0
"55","44.g2","Acanthurus nigrofuscus",9,"red",44,"accessible","medium","g2",0,1,0,0,1,0,0,0,0
"56","44.g9","Acanthurus nigrofuscus",2,"red",44,"accessible","medium","g9",0,0,0,0,0,0,0,0,0
"57","44.h1","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","h1",0,0,0,0,0,0,0,0,0
"58","44.h7","Acanthurus nigrofuscus",5,"red",44,"accessible","medium","h7",0,0,0,0,0,0,0,0,0
"59","44.i2","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","i2",0,0,0,0,0,0,0,0,0
"60","6.c7","Acanthurus nigrofuscus",0,"black",6,"accessible","small","c7",0,1,0,0,1,0,0,0,0
"61","6.d8","Acanthurus nigrofuscus",0,"black",6,"accessible","small","d8",0,2,0,0,2,0,0,0,0
"62","6.e7","Acanthurus nigrofuscus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"63","6.f6","Acanthurus nigrofuscus",0,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"64","6.h3","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"65","6.h6","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"66","6.h8","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
"67","71.a2","Acanthurus nigrofuscus",2,"red",71,"accessible","large","a2",0,2,0,0,2,0,0,0,0
"68","71.a6","Acanthurus nigrofuscus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"69","71.a7","Acanthurus nigrofuscus",1,"red",71,"accessible","large","a7",0,0,0,0,0,0,0,0,0
"70","71.a9","Acanthurus nigrofuscus",0,"red",71,"accessible","large","a9",0,0,0,0,0,0,0,0,0
