"","X","Reef","Treatment","Genus","Species","Genus.species","Individual","Species.Code","Indiviual.code","Body.length","tile.kind","crown","outside","targetcrevice","opencrevice","othercrevice","Video_code","ColourCode","tile.number","video.length.min.sec.","video.length.min","comment","Area.crown.cm2","Area.target.cm2","Area.other.cm2","Area.open.cm2","Area.outside.cm2","Date","colour","Location","Bites.cm2.crown","Bites.cm2.targetcrevice","Bites.cm2.othercrevice","Bites.cm2.opencrevice","Bites.cm2.outside","Bites.cm2.min.crown","Bites.cm2.min.targetcrevice","Bites.cm2.min.othercrevice","Bites.cm2.min.opencrevice","Bites.cm2.min.outside"
"19",1619,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",1,NA,NA,20,"small crevice",3,0,0,0,0,"black-topright#9",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","b2",0.0868055555555556,0,0,0,0,0.00332843387866394,0,0,0,0
"20",1620,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",1,NA,NA,20,"small crevice",1,0,0,0,0,"black-topright#9",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","d8",0.0289351851851852,0,0,0,0,0.00110947795955465,0,0,0,0
"21",1621,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",1,NA,NA,20,"small crevice",2,0,0,0,0,"black-topright#9",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","f2",0.0578703703703704,0,0,0,0,0.00221895591910929,0,0,0,0
"22",1622,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",1,NA,NA,20,"small crevice",0,1,0,0,0,"black-topright#9",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","h8",0,0,0,0,0.0102152725679888,0,0,0,0,0.000391689899079324
"23",115,"Lighthouse Reef","Lob growth","blenny","sp","blenny",102,"blen","blen102",2,"small crevice",1,2,5,15,0,"1black#6","1 black",7.2,16.48,16.18,"",34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,0.0289351851851852,0.520833333333333,0,1.04166666666667,0.0204305451359775,0.00178833035755162,0.0321899464359291,0,0.0643798928718583,0.00126270365488118
"24",116,"Lighthouse Reef","Lob growth","blenny","sp","blenny",100,"blen","blen100",3,"small crevice",0,4,1,0,10,"1black#6","1 black",7.2,16.48,16.18,"",34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,0,0.104166666666667,0.930461062065475,0,0.0408610902719551,0,0.00643798928718583,0.0575068641573223,0,0.00252540730976237
"25",117,"Lighthouse Reef","Lob growth","blenny","sp","blenny",74,"blen","blen74",2,"small crevice",0,2,10,0,0,"1black#3","1 black",7.2,26.05,26.083,"",34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,0,1.04166666666667,0,0,0.0204305451359775,0,0.0399366126084678,0,0,0.000783289695816338
"26",118,"Lighthouse Reef","Lob growth","blenny","sp","blenny",75,"blen","blen75",2,"small crevice",6,0,11,0,0,"1black#3","1 black",7.2,26.05,26.083,"",34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,0.173611111111111,1.14583333333333,0,0,0,0.00665610210141131,0.0439302738693146,0,0,0
"27",119,"Lighthouse Reef","Lob growth","blenny","sp","blenny",76,"blen","blen76",2,"small crevice",1,0,0,0,10,"1black#3","1 black",7.2,26.05,26.083,"",34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,0.0289351851851852,0,0.930461062065475,0,0,0.00110935035023522,0,0.0356730844636535,0,0
"28",120,"Lighthouse Reef","Lob growth","blenny","sp","blenny",77,"blen","blen77",4,"small crevice",0,5,0,0,6,"1black#3","1 black",7.2,26.05,26.083,"",34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA,0,0,0.558276637239285,0,0.0510763628399438,0,0,0.0214038506781921,0,0.00195822423954084
