Date,Reef,Video_code,colour,Species,Individual,fishlength.cm,tile.kind,tile.number,Location,Unique.location,number.bites,length.video.h:min:sec,length.video.min,comment,parrot.phase
19.04.2018,LighthouseReef,black-topright#11,black,Naso lituratus,4,19,large crevice,80,h2,80.h2,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#11,black,Ctenochaetus binotatus,2,5,large crevice,80,h4,80.h4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#11,black,Chlorurus sordidus,10,12,large crevice,80,h6,80.h6,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#11,black,Ctenochaetus binotatus,2,5,large crevice,80,h6,80.h6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#11,black,Naso lituratus,4,19,large crevice,80,h6,80.h6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#11,black,Chlorurus sordidus,10,12,large crevice,80,h8,80.h8,2,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#11,black,Naso lituratus,4,19,large crevice,80,h8,80.h8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#12,black,Naso lituratus,5,20,large crevice,80,b2,80.b2,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,b4,80.b4,4,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,d2,80.d2,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,d3,80.d3,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,e1,80.e1,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,e2,80.e2,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,e3,80.e3,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,e3,80.e3,3,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,e4,80.e4,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,f2,80.f2,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,f2,80.f2,4,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,f3,80.f3,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,f4,80.f4,4,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,f4,80.f4,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,f5,80.f5,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,f5,80.f5,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,f6,80.f6,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,g3,80.g3,3,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,g3,80.g3,3,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,g5,80.g5,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,g5,80.g5,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,g7,80.g7,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Naso lituratus,5,20,large crevice,80,h2,80.h2,1,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,3,5,large crevice,80,h6,80.h6,7,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,h6,80.h6,3,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#12,black,Ctenochaetus binotatus,4,5,large crevice,80,i4,80.i4,2,0:22:48,22.80,,
19.04.2018,LighthouseReef,black-topright#3,black,Chlorurus sordidus,1,18,large crevice,80,h2,80.h2,8,0:26:05,26.08,,Chlorurus sordidus TP
19.04.2018,LighthouseReef,black-topright#3,black,Chlorurus sordidus,1,18,large crevice,80,h6,80.h6,3,0:26:05,26.08,,Chlorurus sordidus TP
19.04.2018,LighthouseReef,black-topright#4,black,Chlorurus sordidus,4,12,large crevice,80,g7,80.g7,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#4,black,Chlorurus sordidus,4,12,large crevice,80,g8,80.g8,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#4,black,Chlorurus sordidus,3,13,large crevice,80,h2,80.h2,3,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#4,black,Chlorurus sordidus,4,12,large crevice,80,h2,80.h2,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#4,black,Chlorurus sordidus,3,13,large crevice,80,h4,80.h4,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#4,black,Chlorurus sordidus,4,12,large crevice,80,h4,80.h4,5,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#4,black,Chlorurus sordidus,4,12,large crevice,80,h7,80.h7,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#5,black,Chlorurus sordidus,7,13,large crevice,80,g7,80.g7,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#5,black,Chlorurus sordidus,8,13,large crevice,80,h2,80.h2,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#5,black,Chlorurus sordidus,7,13,large crevice,80,h6,80.h6,3,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#5,black,Chlorurus sordidus,7,13,large crevice,80,h7,80.h7,2,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#5,black,Chlorurus sordidus,7,13,large crevice,80,h8,80.h8,9,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#5,black,Chlorurus sordidus,8,13,large crevice,80,i5,80.i5,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#8,black,Chlorurus sordidus,9,11,large crevice,80,h2,80.h2,2,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#8,black,Chlorurus sordidus,9,11,large crevice,80,h4,80.h4,1,0:26:05,26.08,,parrot IP (Chlorurus sordidus)
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,b2,80.b2,1,0:26:05,26.08,,
