"","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Species","sumbites"
"74","yellow","8","caged control","large","i2",3,1,0,3,1,0,0,0,0,NA,NA
"75","yellow","8","caged control","large","i3",0,2,0,0,2,0,0,0,0,NA,NA
"76","yellow","8","caged control","large","i4",1,1,0,1,1,0,0,0,0,NA,NA
"77","yellow","8","caged control","large","i5",1,0,0,1,0,0,0,0,0,NA,NA
"78","yellow","8","caged control","large","i6",4,0,0,4,0,0,0,0,0,NA,NA
"79","yellow","8","caged control","large","i7",0,1,0,0,1,0,0,0,0,NA,NA
"80","yellow","8","caged control","large","i8",1,0,0,1,0,0,0,0,0,NA,NA
"81","yellow","8","caged control","large","i9",0,2,0,0,2,0,0,0,0,NA,NA
"82","green","45","caged control","large","a1",0,0,0,0,0,0,0,0,0,NA,NA
"83","green","45","caged control","large","a2",0,0,0,0,0,0,0,0,0,NA,NA
"84","green","45","caged control","large","a3",0,0,0,0,0,0,0,0,0,NA,NA
"85","green","45","caged control","large","a4",1,0,0,1,0,0,0,0,0,NA,NA
"86","green","45","caged control","large","a5",0,1,0,0,1,0,0,0,0,NA,NA
"87","green","45","caged control","large","a6",2,0,0,2,0,0,0,0,0,NA,NA
"88","green","45","caged control","large","a7",0,1,0,0,1,0,0,0,0,NA,NA
"89","green","45","caged control","large","a8",0,0,0,0,0,0,0,0,0,NA,NA
"90","green","45","caged control","large","a9",0,0,0,0,0,0,0,0,0,NA,NA
"91","green","45","caged control","large","b1",0,0,0,0,0,0,0,0,0,NA,NA
"92","green","45","caged control","large","b2",1,3,0,0,3,0,1,0,0,NA,NA
"93","green","45","caged control","large","b3",2,4,0,2,4,0,0,0,0,NA,NA
"94","green","45","caged control","large","b4",0,2,0,0,2,0,0,0,0,NA,NA
"95","green","45","caged control","large","b5",1,2,0,1,2,0,0,0,0,NA,NA
"96","green","45","caged control","large","b6",0,4,0,0,4,0,0,0,0,NA,NA
"97","green","45","caged control","large","b7",0,8,0,0,8,0,0,0,0,NA,NA
"98","green","45","caged control","large","b8",0,9,0,0,9,0,0,0,0,NA,NA
"99","green","45","caged control","large","b9",0,0,0,0,0,0,0,0,0,NA,NA
"100","green","45","caged control","large","c1",0,0,0,0,0,0,0,0,0,NA,NA
"101","green","45","caged control","large","c2",0,2,0,0,2,0,0,0,0,NA,NA
"102","green","45","caged control","large","c3",0,1,0,0,1,0,0,0,0,NA,NA
"103","green","45","caged control","large","c4",1,3,0,0,3,0,1,0,0,NA,NA
"104","green","45","caged control","large","c5",0,0,0,0,0,0,0,0,0,NA,NA
"105","green","45","caged control","large","c6",1,1,0,1,1,0,0,0,0,NA,NA
"106","green","45","caged control","large","c7",0,5,0,0,5,0,0,0,0,NA,NA
"107","green","45","caged control","large","c8",1,1,0,1,1,0,0,0,0,NA,NA
"108","green","45","caged control","large","c9",0,1,0,0,1,0,0,0,0,NA,NA
"109","green","45","caged control","large","d1",0,0,0,0,0,0,0,0,0,NA,NA
"110","green","45","caged control","large","d2",0,6,0,0,6,0,0,0,0,NA,NA
"111","green","45","caged control","large","d3",1,1,0,1,1,0,0,0,0,NA,NA
"112","green","45","caged control","large","d4",0,7,0,0,7,0,0,0,0,NA,NA
"113","green","45","caged control","large","d5",1,3,0,1,3,0,0,0,0,NA,NA
"114","green","45","caged control","large","d6",0,2,0,0,2,0,0,0,0,NA,NA
"115","green","45","caged control","large","d7",0,0,0,0,0,0,0,0,0,NA,NA
"116","green","45","caged control","large","d8",0,6,0,0,6,0,0,0,0,NA,NA
"117","green","45","caged control","large","d9",0,0,0,0,0,0,0,0,0,NA,NA
"118","green","45","caged control","large","e1",1,0,0,0,0,0,1,0,0,NA,NA
"119","green","45","caged control","large","e2",1,2,0,1,2,0,0,0,0,NA,NA
"120","green","45","caged control","large","e3",0,0,0,0,0,0,0,0,0,NA,NA
"121","green","45","caged control","large","e4",0,5,0,0,5,0,0,0,0,NA,NA
"122","green","45","caged control","large","e5",0,3,0,0,3,0,0,0,0,NA,NA
"123","green","45","caged control","large","e6",0,4,0,0,4,0,0,0,0,NA,NA
"124","green","45","caged control","large","e7",0,5,0,0,4,0,0,1,0,NA,NA
"125","green","45","caged control","large","e8",1,1,0,1,1,0,0,0,0,NA,NA
"126","green","45","caged control","large","e9",0,0,0,0,0,0,0,0,0,NA,NA
"127","green","45","caged control","large","f1",0,0,0,0,0,0,0,0,0,NA,NA
"128","green","45","caged control","large","f2",0,1,0,0,1,0,0,0,0,NA,NA
"129","green","45","caged control","large","f3",1,1,0,1,1,0,0,0,0,NA,NA
"130","green","45","caged control","large","f4",0,3,0,0,3,0,0,0,0,NA,NA
"131","green","45","caged control","large","f5",1,2,0,1,2,0,0,0,0,NA,NA
"132","green","45","caged control","large","f6",0,4,0,0,4,0,0,0,0,NA,NA
"133","green","45","caged control","large","f7",1,5,0,1,5,0,0,0,0,NA,NA
"134","green","45","caged control","large","f8",0,4,0,0,4,0,0,0,0,NA,NA
"135","green","45","caged control","large","f9",0,0,0,0,0,0,0,0,0,NA,NA
"136","green","45","caged control","large","g1",0,0,0,0,0,0,0,0,0,NA,NA
"137","green","45","caged control","large","g2",0,2,0,0,2,0,0,0,0,NA,NA
"138","green","45","caged control","large","g3",1,4,0,1,4,0,0,0,0,NA,NA
"139","green","45","caged control","large","g4",0,5,0,0,5,0,0,0,0,NA,NA
"140","green","45","caged control","large","g5",0,14,0,0,14,0,0,0,0,NA,NA
"141","green","45","caged control","large","g6",0,2,0,0,2,0,0,0,0,NA,NA
"142","green","45","caged control","large","g7",1,22,0,1,19,0,0,3,0,NA,NA
"143","green","45","caged control","large","g8",0,6,0,0,6,0,0,0,0,NA,NA
"144","green","45","caged control","large","g9",0,2,0,0,2,0,0,0,0,NA,NA
"145","green","45","caged control","large","h1",0,0,0,0,0,0,0,0,0,NA,NA
"146","green","45","caged control","large","h2",0,2,0,0,2,0,0,0,0,NA,NA
"147","green","45","caged control","large","h3",1,3,0,1,3,0,0,0,0,NA,NA
"148","green","45","caged control","large","h4",0,9,0,0,9,0,0,0,0,NA,NA
"149","green","45","caged control","large","h5",0,0,0,0,0,0,0,0,0,NA,NA
"150","green","45","caged control","large","h6",1,7,0,1,7,0,0,0,0,NA,NA
"151","green","45","caged control","large","h7",1,1,0,1,1,0,0,0,0,NA,NA
"152","green","45","caged control","large","h8",0,6,0,0,6,0,0,0,0,NA,NA
"153","green","45","caged control","large","h9",1,1,0,1,1,0,0,0,0,NA,NA
"154","green","45","caged control","large","i1",1,0,0,1,0,0,0,0,0,NA,NA
"155","green","45","caged control","large","i2",0,0,0,0,0,0,0,0,0,NA,NA
"156","green","45","caged control","large","i3",0,0,0,0,0,0,0,0,0,NA,NA
"157","green","45","caged control","large","i4",0,2,0,0,2,0,0,0,0,NA,NA
"158","green","45","caged control","large","i5",0,0,0,0,0,0,0,0,0,NA,NA
"159","green","45","caged control","large","i6",0,2,0,0,2,0,0,0,0,NA,NA
"160","green","45","caged control","large","i7",2,2,0,2,2,0,0,0,0,NA,NA
"161","green","45","caged control","large","i8",0,1,0,0,1,0,0,0,0,NA,NA
"162","green","45","caged control","large","i9",0,1,0,0,1,0,0,0,0,NA,NA
"163","red","71","accessible","large","a1",0,0,0,0,0,0,0,0,0,NA,NA
"164","red","71","accessible","large","a2",0,2,0,0,2,0,0,0,0,"Acanthurus nigrofuscus",2
"165","red","71","accessible","large","a3",1,0,0,0,0,0,1,0,0,NA,NA
"166","red","71","accessible","large","a4",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",3
