"","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Species","sumbites"
"300","red","71","accessible","large","i6",2,0,0,2,0,0,0,0,0,NA,NA
"301","red","71","accessible","large","i7",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",1
"302","red","71","accessible","large","i7",0,1,0,0,1,0,0,0,0,"Zebrasoma scopas",1
"303","red","71","accessible","large","i8",2,0,0,2,0,0,0,0,0,"Acanthurus nigrofuscus",2
"304","red","71","accessible","large","i8",2,0,0,2,0,0,0,0,0,"Zebrasoma scopas",3
"305","red","71","accessible","large","i9",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",1
"306","red","71","accessible","large","i9",0,0,0,0,0,0,0,0,0,"Zebrasoma scopas",2
"307","blank","74","accessible","large","a1",0,0,0,0,0,0,0,0,0,NA,NA
"308","blank","74","accessible","large","a2",1,0,0,1,0,0,0,0,0,NA,NA
"309","blank","74","accessible","large","a3",0,0,0,0,0,0,0,0,0,NA,NA
"310","blank","74","accessible","large","a4",0,0,0,0,0,0,0,0,0,NA,NA
"311","blank","74","accessible","large","a5",0,2,0,0,2,0,0,0,0,NA,NA
"312","blank","74","accessible","large","a6",0,0,0,0,0,0,0,0,0,NA,NA
"313","blank","74","accessible","large","a7",0,0,0,0,0,0,0,0,0,NA,NA
"314","blank","74","accessible","large","a8",0,0,0,0,0,0,0,0,0,NA,NA
"315","blank","74","accessible","large","a9",0,0,0,0,0,0,0,0,0,NA,NA
"316","blank","74","accessible","large","b1",0,0,0,0,0,0,0,0,0,NA,NA
"317","blank","74","accessible","large","b2",0,7,0,0,7,0,0,0,0,"Scarus niger",1
"318","blank","74","accessible","large","b3",1,1,0,1,1,0,0,0,0,NA,NA
"319","blank","74","accessible","large","b4",0,2,0,0,0,0,0,2,0,"Scarus niger",1
"320","blank","74","accessible","large","b5",0,0,0,0,0,0,0,0,0,"Scarus niger",1
"321","blank","74","accessible","large","b6",0,3,0,0,3,0,0,0,0,NA,NA
"322","blank","74","accessible","large","b7",0,2,0,0,0,0,0,2,0,NA,NA
"323","blank","74","accessible","large","b8",1,0,0,1,0,0,0,0,0,"Scarus niger",1
"324","blank","74","accessible","large","b9",0,0,0,0,0,0,0,0,0,NA,NA
"325","blank","74","accessible","large","c1",0,0,0,0,0,0,0,0,0,NA,NA
"326","blank","74","accessible","large","c2",1,5,0,1,5,0,0,0,0,NA,NA
"327","blank","74","accessible","large","c3",0,3,0,0,2,0,0,1,0,"Scarus niger",1
"328","blank","74","accessible","large","c4",0,0,0,0,0,0,0,0,0,NA,NA
"329","blank","74","accessible","large","c5",0,2,0,0,2,0,0,0,0,NA,NA
"330","blank","74","accessible","large","c6",0,2,0,0,2,0,0,0,0,"Scarus niger",1
"331","blank","74","accessible","large","c7",1,1,0,1,1,0,0,0,0,NA,NA
"332","blank","74","accessible","large","c8",0,3,0,0,3,0,0,0,0,NA,NA
"333","blank","74","accessible","large","c9",0,0,0,0,0,0,0,0,0,NA,NA
"334","blank","74","accessible","large","d1",0,0,0,0,0,0,0,0,0,NA,NA
"335","blank","74","accessible","large","d2",0,0,0,0,0,0,0,0,0,"Scarus niger",2
"336","blank","74","accessible","large","d3",0,1,0,0,1,0,0,0,0,"Scarus niger",1
"337","blank","74","accessible","large","d4",1,1,1,1,0,1,0,1,0,NA,NA
"338","blank","74","accessible","large","d5",0,0,0,0,0,0,0,0,0,"Scarus niger",1
"339","blank","74","accessible","large","d6",0,1,0,0,1,0,0,0,0,NA,NA
"340","blank","74","accessible","large","d7",0,2,0,0,2,0,0,0,0,NA,NA
"341","blank","74","accessible","large","d8",0,4,0,0,4,0,0,0,0,"Scarus niger",1
"342","blank","74","accessible","large","d9",0,0,0,0,0,0,0,0,0,NA,NA
"343","blank","74","accessible","large","e1",0,0,0,0,0,0,0,0,0,NA,NA
"344","blank","74","accessible","large","e2",1,3,0,0,3,0,1,0,0,NA,NA
"345","blank","74","accessible","large","e3",0,4,0,0,4,0,0,0,0,NA,NA
"346","blank","74","accessible","large","e4",0,0,0,0,0,0,0,0,0,NA,NA
"347","blank","74","accessible","large","e5",0,3,0,0,3,0,0,0,0,NA,NA
"348","blank","74","accessible","large","e6",0,0,0,0,0,0,0,0,0,NA,NA
"349","blank","74","accessible","large","e7",0,4,0,0,4,0,0,0,0,"Scarus niger",1
"350","blank","74","accessible","large","e8",0,1,0,0,1,0,0,0,0,NA,NA
"351","blank","74","accessible","large","e9",0,0,0,0,0,0,0,0,0,NA,NA
"352","blank","74","accessible","large","f1",0,1,0,0,1,0,0,0,0,NA,NA
"353","blank","74","accessible","large","f2",1,6,0,1,6,0,0,0,0,NA,NA
"354","blank","74","accessible","large","f3",2,0,0,2,0,0,0,0,0,NA,NA
"355","blank","74","accessible","large","f4",0,3,0,0,3,0,0,0,0,"Scarus niger",1
"356","blank","74","accessible","large","f5",0,2,0,0,1,0,0,1,0,NA,NA
"357","blank","74","accessible","large","f6",0,5,0,0,4,0,0,1,0,NA,NA
"358","blank","74","accessible","large","f7",0,0,0,0,0,0,0,0,0,NA,NA
"359","blank","74","accessible","large","f8",0,2,0,0,2,0,0,0,0,NA,NA
"360","blank","74","accessible","large","f9",0,0,0,0,0,0,0,0,0,NA,NA
"361","blank","74","accessible","large","g1",0,0,0,0,0,0,0,0,0,NA,NA
"362","blank","74","accessible","large","g2",0,2,0,0,2,0,0,0,0,NA,NA
"363","blank","74","accessible","large","g3",0,5,0,0,5,0,0,0,0,"Scarus niger",2
"364","blank","74","accessible","large","g4",0,0,0,0,0,0,0,0,0,NA,NA
"365","blank","74","accessible","large","g5",0,2,0,0,2,0,0,0,0,NA,NA
"366","blank","74","accessible","large","g6",3,0,0,3,0,0,0,0,0,NA,NA
"367","blank","74","accessible","large","g7",0,1,0,0,1,0,0,0,0,"Scarus niger",1
"368","blank","74","accessible","large","g8",0,0,0,0,0,0,0,0,0,"Pomacentrus bankanensis",1
"369","blank","74","accessible","large","g9",0,0,0,0,0,0,0,0,0,NA,0
"370","blank","74","accessible","large","h1",0,1,0,0,1,0,0,0,0,NA,NA
"371","blank","74","accessible","large","h2",0,0,0,0,0,0,0,0,0,NA,NA
"372","blank","74","accessible","large","h3",0,1,0,0,1,0,0,0,0,NA,NA
"373","blank","74","accessible","large","h4",1,3,0,1,3,0,0,0,0,NA,NA
"374","blank","74","accessible","large","h5",0,0,0,0,0,0,0,0,0,NA,NA
"375","blank","74","accessible","large","h6",0,3,0,0,2,0,0,1,0,NA,NA
"376","blank","74","accessible","large","h7",0,0,0,0,0,0,0,0,0,NA,NA
"377","blank","74","accessible","large","h8",0,0,0,0,0,0,0,0,0,NA,NA
"378","blank","74","accessible","large","h9",1,0,0,1,0,0,0,0,0,NA,NA
"379","blank","74","accessible","large","i1",0,0,0,0,0,0,0,0,0,NA,NA
"380","blank","74","accessible","large","i2",1,0,1,1,0,1,0,0,0,NA,NA
"381","blank","74","accessible","large","i3",0,0,0,0,0,0,0,0,0,NA,NA
"382","blank","74","accessible","large","i4",0,0,0,0,0,0,0,0,0,NA,NA
"383","blank","74","accessible","large","i5",0,0,0,0,0,0,0,0,0,NA,NA
"384","blank","74","accessible","large","i6",0,0,0,0,0,0,0,0,0,NA,NA
"385","blank","74","accessible","large","i7",0,0,0,0,0,0,0,0,0,NA,NA
"386","blank","74","accessible","large","i8",0,1,0,0,1,0,0,0,0,NA,NA
"387","blank","74","accessible","large","i9",0,0,0,0,0,0,0,0,0,NA,NA
"388","black","80","accessible","large","a1",0,0,0,0,0,0,0,0,0,NA,NA
"389","black","80","accessible","large","a2",0,0,0,0,0,0,0,0,0,NA,NA
"390","black","80","accessible","large","a3",0,1,0,0,1,0,0,0,0,NA,NA
"391","black","80","accessible","large","a4",2,0,0,2,0,0,0,0,0,NA,NA
"392","black","80","accessible","large","a5",1,0,0,1,0,0,0,0,0,NA,NA
"393","black","80","accessible","large","a6",0,0,0,0,0,0,0,0,0,NA,NA
"394","black","80","accessible","large","a7",0,1,0,0,1,0,0,0,0,NA,NA
"395","black","80","accessible","large","a8",2,1,0,2,1,0,0,0,0,NA,NA
"396","black","80","accessible","large","a9",0,1,0,0,1,0,0,0,0,NA,NA
"397","black","80","accessible","large","b1",0,1,0,0,1,0,0,0,0,NA,NA
"398","black","80","accessible","large","b2",1,4,0,1,3,0,0,1,0,"Naso lituratus",2
"399","black","80","accessible","large","b3",1,3,1,1,3,1,0,0,0,NA,NA
"400","black","80","accessible","large","b4",0,3,0,0,3,0,0,0,0,"Ctenochaetus binotatus",4
"401","black","80","accessible","large","b4",0,3,0,0,3,0,0,0,0,"Naso lituratus",5
"402","black","80","accessible","large","b5",0,0,0,0,0,0,0,0,0,NA,NA
"403","black","80","accessible","large","b6",1,5,0,1,5,0,0,0,0,"Naso lituratus",5
"404","black","80","accessible","large","b7",0,3,0,0,3,0,0,0,0,NA,NA
"405","black","80","accessible","large","b8",0,1,0,0,1,0,0,0,0,"Naso lituratus",2
"406","black","80","accessible","large","b9",0,0,0,0,0,0,0,0,0,NA,NA
"407","black","80","accessible","large","c1",0,0,0,0,0,0,0,0,0,"Naso lituratus",1
"408","black","80","accessible","large","c2",2,2,0,2,2,0,0,0,0,NA,NA
"409","black","80","accessible","large","c3",1,0,1,1,0,1,0,0,0,NA,NA
"410","black","80","accessible","large","c4",0,2,0,0,2,0,0,0,0,"Ctenochaetus binotatus",1
"411","black","80","accessible","large","c5",2,3,0,2,3,0,0,0,0,NA,NA
"412","black","80","accessible","large","c6",0,1,0,0,1,0,0,0,0,"Naso lituratus",2
"413","black","80","accessible","large","c7",0,4,0,0,3,0,0,1,0,"Naso lituratus",1
"414","black","80","accessible","large","c8",1,1,0,1,1,0,0,0,0,NA,NA
"415","black","80","accessible","large","c9",0,0,0,0,0,0,0,0,0,NA,NA
"416","black","80","accessible","large","d1",0,1,0,0,1,0,0,0,0,"Naso lituratus",1
"417","black","80","accessible","large","d2",0,9,0,0,9,0,0,0,0,"Ctenochaetus binotatus",1
"418","black","80","accessible","large","d2",0,9,0,0,9,0,0,0,0,"Naso lituratus",2
"419","black","80","accessible","large","d3",0,0,0,0,0,0,0,0,0,"Ctenochaetus binotatus",2
"420","black","80","accessible","large","d3",0,0,0,0,0,0,0,0,0,"Naso lituratus",2
"421","black","80","accessible","large","d3",0,0,0,0,0,0,0,0,0,"unident wrasse",1
"422","black","80","accessible","large","d4",1,2,0,1,2,0,0,0,0,NA,NA
"423","black","80","accessible","large","d5",0,3,0,0,3,0,0,0,0,NA,NA
"424","black","80","accessible","large","d6",0,3,0,0,3,0,0,0,0,NA,NA
"425","black","80","accessible","large","d7",0,0,0,0,0,0,0,0,0,"Naso lituratus",1
"426","black","80","accessible","large","d8",0,4,0,0,4,0,0,0,0,"Naso lituratus",2
"427","black","80","accessible","large","d9",0,0,0,0,0,0,0,0,0,NA,NA
"428","black","80","accessible","large","e1",0,1,0,0,1,0,0,0,0,"Ctenochaetus binotatus",1
"429","black","80","accessible","large","e2",2,0,1,2,0,1,0,0,0,"Ctenochaetus binotatus",1
"430","black","80","accessible","large","e3",0,2,0,0,2,0,0,0,0,"Ctenochaetus binotatus",6
"431","black","80","accessible","large","e3",0,2,0,0,2,0,0,0,0,"Naso lituratus",2
"432","black","80","accessible","large","e3",0,2,0,0,2,0,0,0,0,"unident wrasse",1
"433","black","80","accessible","large","e4",1,5,0,1,5,0,0,0,0,"Ctenochaetus binotatus",1
"434","black","80","accessible","large","e5",0,3,0,0,3,0,0,0,0,NA,NA
"435","black","80","accessible","large","e6",0,0,0,0,0,0,0,0,0,NA,NA
"436","black","80","accessible","large","e7",1,0,0,1,0,0,0,0,0,NA,NA
"437","black","80","accessible","large","e8",1,1,0,1,1,0,0,0,0,NA,NA
"438","black","80","accessible","large","e9",1,0,0,1,0,0,0,0,0,NA,NA
"439","black","80","accessible","large","f1",1,0,0,1,0,0,0,0,0,NA,NA
"440","black","80","accessible","large","f2",0,1,0,0,0,0,0,1,0,"Ctenochaetus binotatus",5
"441","black","80","accessible","large","f2",0,1,0,0,0,0,0,1,0,"Naso lituratus",6
"442","black","80","accessible","large","f3",1,1,0,1,1,0,0,0,0,"Ctenochaetus binotatus",1
"443","black","80","accessible","large","f4",0,4,0,0,3,0,0,1,0,"Ctenochaetus binotatus",6
"444","black","80","accessible","large","f4",0,4,0,0,3,0,0,1,0,"unident wrasse",1
"445","black","80","accessible","large","f5",0,2,0,0,1,0,0,1,0,"Ctenochaetus binotatus",4
"446","black","80","accessible","large","f6",0,1,0,0,1,0,0,0,0,"Ctenochaetus binotatus",2
"447","black","80","accessible","large","f7",1,1,0,1,1,0,0,0,0,NA,NA
"448","black","80","accessible","large","f8",0,3,0,0,3,0,0,0,0,"Naso lituratus",1
"449","black","80","accessible","large","f9",0,0,1,0,0,1,0,0,0,NA,NA
"450","black","80","accessible","large","g1",0,0,0,0,0,0,0,0,0,"Naso lituratus",3
"451","black","80","accessible","large","g2",0,1,0,0,1,0,0,0,0,NA,NA
"452","black","80","accessible","large","g3",0,1,0,0,1,0,0,0,0,"Ctenochaetus binotatus",6
"453","black","80","accessible","large","g4",2,2,0,2,2,0,0,0,0,"unident wrasse",2
"454","black","80","accessible","large","g5",0,0,0,0,0,0,0,0,0,"Ctenochaetus binotatus",3
"455","black","80","accessible","large","g6",0,1,0,0,1,0,0,0,0,NA,NA
"456","black","80","accessible","large","g7",2,3,0,2,3,0,0,0,0,"Chlorurus sordidus",5
"457","black","80","accessible","large","g7",2,3,0,2,3,0,0,0,0,"Ctenochaetus binotatus",2
"458","black","80","accessible","large","g7",2,3,0,2,3,0,0,0,0,"Naso lituratus",1
"459","black","80","accessible","large","g8",1,2,0,1,2,0,0,0,0,"Chlorurus sordidus",1
"460","black","80","accessible","large","g9",0,1,0,0,1,0,0,0,0,NA,NA
"461","black","80","accessible","large","h1",0,1,0,0,1,0,0,0,0,NA,NA
"462","black","80","accessible","large","h2",0,1,0,0,1,0,0,0,0,"Chlorurus sordidus",15
"463","black","80","accessible","large","h2",0,1,0,0,1,0,0,0,0,"Naso lituratus",6
"464","black","80","accessible","large","h3",2,3,0,2,3,0,0,0,0,NA,NA
"465","black","80","accessible","large","h4",0,0,0,0,0,0,0,0,0,"Chlorurus sordidus",7
"466","black","80","accessible","large","h4",0,0,0,0,0,0,0,0,0,"Ctenochaetus binotatus",2
"467","black","80","accessible","large","h4",0,0,0,0,0,0,0,0,0,"Naso lituratus",3
"468","black","80","accessible","large","h5",0,2,0,0,2,0,0,0,0,NA,NA
"469","black","80","accessible","large","h6",0,4,0,0,3,0,0,1,0,"Chlorurus sordidus",7
"470","black","80","accessible","large","h6",0,4,0,0,3,0,0,1,0,"Ctenochaetus binotatus",11
"471","black","80","accessible","large","h6",0,4,0,0,3,0,0,1,0,"Naso lituratus",1
"472","black","80","accessible","large","h7",1,2,0,1,2,0,0,0,0,"Chlorurus sordidus",3
"473","black","80","accessible","large","h8",0,0,0,0,0,0,0,0,0,"Chlorurus sordidus",11
"474","black","80","accessible","large","h8",0,0,0,0,0,0,0,0,0,"Naso lituratus",2
"475","black","80","accessible","large","h9",1,1,0,1,1,0,0,0,0,NA,NA
"476","black","80","accessible","large","i1",0,1,0,0,1,0,0,0,0,NA,NA
"477","black","80","accessible","large","i2",0,0,0,0,0,0,0,0,0,NA,NA
"478","black","80","accessible","large","i3",0,0,0,0,0,0,0,0,0,"Naso lituratus",1
"479","black","80","accessible","large","i4",0,0,0,0,0,0,0,0,0,"Ctenochaetus binotatus",2
"480","black","80","accessible","large","i5",0,0,0,0,0,0,0,0,0,"Chlorurus sordidus",1
"481","black","80","accessible","large","i6",0,0,0,0,0,0,0,0,0,NA,NA
"482","black","80","accessible","large","i7",0,1,0,0,1,0,0,0,0,NA,NA
"483","black","80","accessible","large","i8",0,1,0,0,1,0,0,0,0,NA,NA
"484","black","80","accessible","large","i9",1,0,0,1,0,0,0,0,0,NA,NA
"485","green","13","caged control","medium","a1",0,0,0,0,0,0,0,0,0,NA,NA
"486","green","13","caged control","medium","a2",0,0,0,0,0,0,0,0,0,NA,NA
"487","green","13","caged control","medium","a3",0,0,0,0,0,0,0,0,0,NA,NA
"488","green","13","caged control","medium","a4",1,0,0,1,0,0,0,0,0,NA,NA
"489","green","13","caged control","medium","a5",0,1,0,0,1,0,0,0,0,NA,NA
"490","green","13","caged control","medium","a6",0,0,0,0,0,0,0,0,0,NA,NA
"491","green","13","caged control","medium","a7",0,0,0,0,0,0,0,0,0,NA,NA
"492","green","13","caged control","medium","a8",1,0,0,1,0,0,0,0,0,NA,NA
"493","green","13","caged control","medium","a9",0,0,0,0,0,0,0,0,0,NA,NA
"494","green","13","caged control","medium","b1",0,0,0,0,0,0,0,0,0,NA,NA
"495","green","13","caged control","medium","b2",0,1,0,0,1,0,0,0,0,NA,NA
"496","green","13","caged control","medium","b3",0,0,0,0,0,0,0,0,0,NA,NA
"497","green","13","caged control","medium","b4",0,0,0,0,0,0,0,0,0,NA,NA
"498","green","13","caged control","medium","b5",2,1,0,2,1,0,0,0,0,NA,NA
"499","green","13","caged control","medium","b6",1,0,0,1,0,0,0,0,0,NA,NA
"500","green","13","caged control","medium","b7",0,1,0,0,1,0,0,0,0,NA,NA
"501","green","13","caged control","medium","b8",1,0,0,1,0,0,0,0,0,NA,NA
"502","green","13","caged control","medium","b9",0,0,0,0,0,0,0,0,0,NA,NA
"503","green","13","caged control","medium","c1",0,2,0,0,2,0,0,0,0,NA,NA
"504","green","13","caged control","medium","c2",0,0,0,0,0,0,0,0,0,NA,NA
"505","green","13","caged control","medium","c3",0,1,0,0,1,0,0,0,0,NA,NA
"506","green","13","caged control","medium","c4",0,2,0,0,2,0,0,0,0,NA,NA
"507","green","13","caged control","medium","c5",1,0,0,1,0,0,0,0,0,NA,NA
"508","green","13","caged control","medium","c6",0,0,0,0,0,0,0,0,0,NA,NA
"509","green","13","caged control","medium","c7",0,1,0,0,1,0,0,0,0,NA,NA
"510","green","13","caged control","medium","c8",0,3,0,0,3,0,0,0,0,NA,NA
"511","green","13","caged control","medium","c9",0,0,0,0,0,0,0,0,0,NA,NA
"512","green","13","caged control","medium","d1",0,0,1,0,0,1,0,0,0,NA,NA
"513","green","13","caged control","medium","d2",0,1,0,0,1,0,0,0,0,NA,NA
"514","green","13","caged control","medium","d3",1,0,0,1,0,0,0,0,0,NA,NA
"515","green","13","caged control","medium","d4",0,0,0,0,0,0,0,0,0,NA,NA
"516","green","13","caged control","medium","d5",0,3,1,0,3,1,0,0,0,NA,NA
"517","green","13","caged control","medium","d6",0,3,0,0,2,0,0,1,0,NA,NA
"518","green","13","caged control","medium","d7",0,3,0,0,3,0,0,0,0,NA,NA
"519","green","13","caged control","medium","d8",0,1,0,0,1,0,0,0,0,NA,NA
"520","green","13","caged control","medium","d9",0,0,0,0,0,0,0,0,0,NA,NA
"521","green","13","caged control","medium","e1",0,0,0,0,0,0,0,0,0,NA,NA
"522","green","13","caged control","medium","e2",1,0,0,1,0,0,0,0,0,NA,NA
"523","green","13","caged control","medium","e3",0,3,0,0,3,0,0,0,0,NA,NA
"524","green","13","caged control","medium","e4",0,0,1,0,0,1,0,0,0,NA,NA
"525","green","13","caged control","medium","e5",1,1,0,1,1,0,0,0,0,NA,NA
"526","green","13","caged control","medium","e6",0,2,1,0,2,1,0,0,0,NA,NA
"527","green","13","caged control","medium","e7",0,0,0,0,0,0,0,0,0,NA,NA
"528","green","13","caged control","medium","e8",0,1,0,0,1,0,0,0,0,NA,NA
"529","green","13","caged control","medium","e9",0,0,0,0,0,0,0,0,0,NA,NA
"530","green","13","caged control","medium","f1",0,2,0,0,2,0,0,0,0,NA,NA
"531","green","13","caged control","medium","f2",0,0,0,0,0,0,0,0,0,NA,NA
"532","green","13","caged control","medium","f3",0,1,0,0,1,0,0,0,0,NA,NA
"533","green","13","caged control","medium","f4",0,1,0,0,1,0,0,0,0,NA,NA
"534","green","13","caged control","medium","f5",0,1,0,0,1,1,0,0,-1,NA,NA
"535","green","13","caged control","medium","f6",0,1,0,0,1,0,0,0,0,NA,NA
"536","green","13","caged control","medium","f7",0,1,0,0,1,0,0,0,0,NA,NA
"537","green","13","caged control","medium","f8",0,5,0,0,5,0,0,0,0,NA,NA
"538","green","13","caged control","medium","f9",0,0,0,0,0,0,0,0,0,NA,NA
"539","green","13","caged control","medium","g1",0,0,0,0,0,0,0,0,0,NA,NA
"540","green","13","caged control","medium","g2",1,1,0,1,1,0,0,0,0,NA,NA
"541","green","13","caged control","medium","g3",0,0,0,0,0,0,0,0,0,NA,NA
"542","green","13","caged control","medium","g4",1,1,0,1,1,0,0,0,0,NA,NA
"543","green","13","caged control","medium","g5",0,0,1,0,0,1,0,0,0,NA,NA
"544","green","13","caged control","medium","g6",0,2,0,0,2,0,0,0,0,NA,NA
"545","green","13","caged control","medium","g7",0,3,0,0,3,0,0,0,0,NA,NA
"546","green","13","caged control","medium","g8",0,0,0,0,0,0,0,0,0,NA,NA
"547","green","13","caged control","medium","g9",0,0,0,0,0,0,0,0,0,NA,NA
"548","green","13","caged control","medium","h1",0,1,0,0,1,0,0,0,0,NA,NA
"549","green","13","caged control","medium","h2",0,1,0,0,1,0,0,0,0,NA,NA
"550","green","13","caged control","medium","h3",1,2,0,1,2,0,0,0,0,NA,NA
"551","green","13","caged control","medium","h4",1,0,0,1,0,0,0,0,0,NA,NA
"552","green","13","caged control","medium","h5",1,0,0,1,0,0,0,0,0,NA,NA
"553","green","13","caged control","medium","h6",0,1,1,0,1,1,0,0,0,NA,NA
"554","green","13","caged control","medium","h7",0,0,0,0,0,0,0,0,0,NA,NA
"555","green","13","caged control","medium","h8",0,0,0,0,0,0,0,0,0,NA,NA
"556","green","13","caged control","medium","h9",0,1,0,0,1,0,0,0,0,NA,NA
"557","green","13","caged control","medium","i1",0,0,0,0,0,0,0,0,0,NA,NA
"558","green","13","caged control","medium","i2",0,0,0,0,0,0,0,0,0,NA,NA
"559","green","13","caged control","medium","i3",0,0,0,0,0,0,0,0,0,NA,NA
"560","green","13","caged control","medium","i4",0,1,0,0,1,0,0,0,0,NA,NA
"561","green","13","caged control","medium","i5",0,0,0,0,0,0,0,0,0,NA,NA
"562","green","13","caged control","medium","i6",1,1,0,1,1,0,0,0,0,NA,NA
"563","green","13","caged control","medium","i7",0,0,0,0,0,0,0,0,0,NA,NA
"564","green","13","caged control","medium","i8",0,0,0,0,0,0,0,0,0,NA,NA
"565","green","13","caged control","medium","i9",0,0,0,0,0,0,0,0,0,NA,NA
"566","red","44","accessible","medium","a1",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",1
"567","red","44","accessible","medium","a2",0,0,0,0,0,0,0,0,0,NA,NA
"568","red","44","accessible","medium","a3",0,0,0,0,0,0,0,0,0,NA,NA
"569","red","44","accessible","medium","a4",0,0,0,0,0,0,0,0,0,NA,NA
"570","red","44","accessible","medium","a5",0,0,0,0,0,0,0,0,0,NA,NA
"571","red","44","accessible","medium","a6",0,0,0,0,0,0,0,0,0,NA,NA
"572","red","44","accessible","medium","a7",0,0,0,0,0,0,0,0,0,NA,NA
"573","red","44","accessible","medium","a8",0,0,0,0,0,0,0,0,0,NA,NA
"574","red","44","accessible","medium","a9",0,0,0,0,0,0,0,0,0,NA,NA
"575","red","44","accessible","medium","b1",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",3
"576","red","44","accessible","medium","b1",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",1
"577","red","44","accessible","medium","b1",0,0,0,0,0,0,0,0,0,"Zebrasoma scopas",2
"578","red","44","accessible","medium","b2",1,1,0,1,1,0,0,0,0,"Acanthurus nigrofuscus",14
"579","red","44","accessible","medium","b2",1,1,0,1,1,0,0,0,0,"Ctenochaetus striatus",8
"580","red","44","accessible","medium","b3",1,0,0,1,0,0,0,0,0,"Ctenochaetus striatus",2
"581","red","44","accessible","medium","b4",0,3,0,0,3,0,0,0,0,"Acanthurus nigrofuscus",4
"582","red","44","accessible","medium","b4",0,3,0,0,3,0,0,0,0,"Ctenochaetus striatus",3
"583","red","44","accessible","medium","b5",0,2,0,0,2,0,0,0,0,"Acanthurus nigrofuscus",2
"584","red","44","accessible","medium","b6",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",7
"585","red","44","accessible","medium","b6",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",4
"586","red","44","accessible","medium","b7",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",2
"587","red","44","accessible","medium","b8",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",5
"588","red","44","accessible","medium","b8",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",5
"589","red","44","accessible","medium","b9",1,0,0,1,0,0,0,0,0,NA,NA
"590","red","44","accessible","medium","c1",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",4
"591","red","44","accessible","medium","c1",0,0,0,0,0,0,0,0,0,"Zebrasoma scopas",1
"592","red","44","accessible","medium","c2",0,0,0,0,0,0,0,0,0,NA,NA
"593","red","44","accessible","medium","c3",0,1,0,0,0,0,0,1,0,"Acanthurus nigrofuscus",18
"594","red","44","accessible","medium","c3",0,1,0,0,0,0,0,1,0,"Ctenochaetus striatus",NA
"595","red","44","accessible","medium","c4",1,0,0,1,0,0,0,0,0,NA,NA
"596","red","44","accessible","medium","c5",0,2,0,0,2,0,0,0,0,"Acanthurus nigrofuscus",8
"597","red","44","accessible","medium","c5",0,2,0,0,2,0,0,0,0,"Zebrasoma scopas",1
"598","red","44","accessible","medium","c6",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",1
"599","red","44","accessible","medium","c7",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",4
"600","red","44","accessible","medium","c7",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",3
"601","red","44","accessible","medium","c8",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",1
"602","red","44","accessible","medium","c9",1,0,0,1,0,0,0,0,0,NA,NA
"603","red","44","accessible","medium","d1",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",1
"604","red","44","accessible","medium","d1",0,1,0,0,1,0,0,0,0,"Ctenochaetus striatus",2
"605","red","44","accessible","medium","d1",0,1,0,0,1,0,0,0,0,"Zebrasoma scopas",1
"606","red","44","accessible","medium","d2",0,2,0,0,1,0,0,1,0,"Acanthurus nigrofuscus",19
"607","red","44","accessible","medium","d2",0,2,0,0,1,0,0,1,0,"Ctenochaetus striatus",5
"608","red","44","accessible","medium","d2",0,2,0,0,1,0,0,1,0,"Zebrasoma scopas",1
"609","red","44","accessible","medium","d3",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",5
"610","red","44","accessible","medium","d4",0,2,0,0,0,0,0,2,0,"Acanthurus nigrofuscus",13
"611","red","44","accessible","medium","d4",0,2,0,0,0,0,0,2,0,"Ctenochaetus striatus",2
"612","red","44","accessible","medium","d5",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",4
"613","red","44","accessible","medium","d6",1,1,0,1,0,0,0,1,0,"Acanthurus nigrofuscus",5
"614","red","44","accessible","medium","d6",1,1,0,1,0,0,0,1,0,"Ctenochaetus striatus",4
"615","red","44","accessible","medium","d6",1,1,0,1,0,0,0,1,0,"Zebrasoma scopas",1
"616","red","44","accessible","medium","d7",0,1,0,0,1,0,0,0,0,NA,NA
"617","red","44","accessible","medium","d8",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",5
"618","red","44","accessible","medium","d8",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",4
