"","tile.number","Location","Species","sumbites"
"150","44","h8","Ctenochaetus striatus",5
"151","44","h8","Zebrasoma scopas",5
"152","44","h9","Acanthurus nigrofuscus",4
"153","44","h9","Ctenochaetus striatus",1
"154","44","i2","Acanthurus nigrofuscus",1
"155","44","i3","Acanthurus nigrofuscus",6
"156","44","i3","Ctenochaetus striatus",2
"157","44","i4","Acanthurus nigrofuscus",1
"158","44","i4","Ctenochaetus striatus",2
"159","44","i5","Acanthurus nigrofuscus",1
"160","44","i5","Ctenochaetus striatus",1
"161","44","i5","Zebrasoma scopas",3
"162","44","i6","Acanthurus nigrofuscus",2
"163","44","i6","Ctenochaetus striatus",2
"164","44","i6","Zebrasoma scopas",4
"165","44","i7","Acanthurus nigrofuscus",3
"166","44","i7","Ctenochaetus striatus",4
"167","44","i7","Zebrasoma scopas",1
"168","44","i8","Acanthurus nigrofuscus",3
"169","44","i8","Ctenochaetus striatus",3
"170","44","i9",NA,0
"171","45",NA,NA,0
"172","71","a2","Acanthurus nigrofuscus",2
"173","71","a4","Acanthurus nigrofuscus",3
"174","71","a4","Ctenochaetus striatus",1
"175","71","a6","Zebrasoma scopas",2
"176","71","a7","Acanthurus nigrofuscus",1
"177","71","a9","Zebrasoma scopas",1
"178","71","b2","Acanthurus nigrofuscus",2
"179","71","b2","Ctenochaetus striatus",8
"180","71","b2","Zebrasoma scopas",2
"181","71","b3","Acanthurus nigrofuscus",1
"182","71","b3","Ctenochaetus striatus",1
"183","71","b4","Acanthurus nigrofuscus",3
"184","71","b4","Ctenochaetus striatus",7
"185","71","b4","Zebrasoma scopas",1
"186","71","b5","Ctenochaetus striatus",1
"187","71","b6","Acanthurus nigrofuscus",4
"188","71","b6","Ctenochaetus striatus",6
"189","71","b6","Zebrasoma scopas",5
"190","71","b7","Acanthurus nigrofuscus",9
"191","71","b7","Ctenochaetus striatus",7
"192","71","b7","Zebrasoma scopas",2
"193","71","b8","Acanthurus nigrofuscus",5
"194","71","b8","Ctenochaetus striatus",2
"195","71","b9","Acanthurus nigrofuscus",3
"196","71","b9","Ctenochaetus striatus",1
"197","71","c2","Ctenochaetus striatus",5
"198","71","c3","Acanthurus nigrofuscus",1
"199","71","c3","Ctenochaetus striatus",4
"200","71","c3","Zebrasoma scopas",1
"201","71","c4","Acanthurus nigrofuscus",6
"202","71","c4","Ctenochaetus striatus",5
"203","71","c4","Zebrasoma scopas",2
"204","71","c5","Ctenochaetus striatus",1
"205","71","c5","Zebrasoma scopas",1
"206","71","c6","Acanthurus nigrofuscus",1
"207","71","c6","Ctenochaetus striatus",2
"208","71","c7","Acanthurus nigrofuscus",3
"209","71","c7","Ctenochaetus striatus",3
"210","71","c7","Zebrasoma scopas",2
"211","71","c8","Acanthurus nigrofuscus",4
"212","71","c8","Ctenochaetus striatus",4
"213","71","c8","Zebrasoma scopas",10
"214","71","c9","Ctenochaetus striatus",1
"215","71","d2","Ctenochaetus striatus",12
"216","71","d3","Ctenochaetus striatus",1
"217","71","d4","Acanthurus nigrofuscus",4
"218","71","d4","Ctenochaetus striatus",8
"219","71","d5","Ctenochaetus striatus",1
"220","71","d6","Ctenochaetus striatus",4
"221","71","d6","Zebrasoma scopas",1
"222","71","d7","Acanthurus nigrofuscus",1
"223","71","d7","Ctenochaetus striatus",4
"224","71","d8","Acanthurus nigrofuscus",5
"225","71","d8","Ctenochaetus striatus",2
"226","71","d8","Zebrasoma scopas",7
"227","71","d9","Acanthurus nigrofuscus",4
"228","71","d9","Ctenochaetus striatus",1
"229","71","e1","Ctenochaetus striatus",2
"230","71","e2","Ctenochaetus striatus",2
"231","71","e3","Acanthurus nigrofuscus",4
"232","71","e3","Ctenochaetus striatus",4
"233","71","e4","Acanthurus nigrofuscus",1
"234","71","e4","Ctenochaetus striatus",4
"235","71","e6","Acanthurus nigrofuscus",1
"236","71","e6","Ctenochaetus striatus",1
"237","71","e7","Acanthurus nigrofuscus",2
"238","71","e7","Ctenochaetus striatus",1
"239","71","e8","Acanthurus nigrofuscus",2
"240","71","e8","Ctenochaetus striatus",4
"241","71","e8","Zebrasoma scopas",3
"242","71","e9","Ctenochaetus striatus",1
"243","71","f1","Ctenochaetus striatus",2
"244","71","f2","Ctenochaetus striatus",7
"245","71","f2","Pomacentrus bankanensis",1
"246","71","f2","Zebrasoma scopas",1
"247","71","f4","Ctenochaetus striatus",7
"248","71","f4","Zebrasoma scopas",1
"249","71","f5","Acanthurus nigrofuscus",2
"250","71","f5","Ctenochaetus striatus",1
"251","71","f6","Acanthurus nigrofuscus",3
"252","71","f6","Ctenochaetus striatus",5
"253","71","f6","Zebrasoma scopas",3
"254","71","f7","Acanthurus nigrofuscus",1
"255","71","f7","Ctenochaetus striatus",4
"256","71","f7","Zebrasoma scopas",4
"257","71","f8","Acanthurus nigrofuscus",6
"258","71","f8","Ctenochaetus striatus",5
"259","71","f8","Zebrasoma scopas",10
"260","71","f9","Ctenochaetus striatus",2
"261","71","g1","Ctenochaetus striatus",2
"262","71","g2","Ctenochaetus striatus",3
"263","71","g3","Ctenochaetus striatus",6
"264","71","g3","Zebrasoma scopas",3
"265","71","g4","Ctenochaetus striatus",1
"266","71","g5","Acanthurus nigrofuscus",7
"267","71","g5","Ctenochaetus striatus",5
"268","71","g7","Acanthurus nigrofuscus",5
"269","71","g7","Ctenochaetus striatus",9
"270","71","g7","Zebrasoma scopas",3
"271","71","g8","Zebrasoma scopas",1
"272","71","g9","Acanthurus nigrofuscus",1
"273","71","g9","Ctenochaetus striatus",1
"274","71","h2","Acanthurus nigrofuscus",2
"275","71","h2","Ctenochaetus striatus",11
"276","71","h2","Zebrasoma scopas",8
"277","71","h3","Ctenochaetus striatus",1
"278","71","h4","Acanthurus nigrofuscus",4
"279","71","h4","Ctenochaetus striatus",9
"280","71","h4","Zebrasoma scopas",3
"281","71","h5","Acanthurus nigrofuscus",2
"282","71","h5","Ctenochaetus striatus",3
"283","71","h6","Acanthurus nigrofuscus",6
"284","71","h6","Ctenochaetus striatus",9
"285","71","h6","Zebrasoma scopas",12
"286","71","h7","Zebrasoma scopas",5
"287","71","h8","Acanthurus nigrofuscus",13
"288","71","h8","Ctenochaetus striatus",4
"289","71","h8","Zebrasoma scopas",17
"290","71","h9","Acanthurus nigrofuscus",3
"291","71","h9","Ctenochaetus striatus",1
"292","71","h9","Zebrasoma scopas",4
"293","71","i2","Ctenochaetus striatus",1
"294","71","i4","Ctenochaetus striatus",1
"295","71","i7","Acanthurus nigrofuscus",1
"296","71","i7","Zebrasoma scopas",1
"297","71","i8","Acanthurus nigrofuscus",2
"298","71","i8","Zebrasoma scopas",3
"299","71","i9","Ctenochaetus striatus",1
"300","71","i9","Zebrasoma scopas",2
"301","72","a1","Zebrasoma scopas",1
"302","72","a2","Acanthurus nigrofuscus",3
"303","72","a2","Chlorurus sordidus",1
"304","72","a2","Ctenochaetus striatus",2
"305","72","a2","Zebrasoma scopas",3
"306","72","a3","Acanthurus nigrofuscus",5
"307","72","a3","Ctenochaetus striatus",1
"308","72","a3",NA,0
"309","72","a4","Acanthurus nigrofuscus",1
"310","72","a4","Ctenochaetus striatus",6
"311","72","a5","Acanthurus nigrofuscus",4
"312","72","a5","Ctenochaetus striatus",1
"313","72","a6","Acanthurus nigrofuscus",4
"314","72","a6","Ctenochaetus striatus",3
"315","72","a7","Acanthurus nigrofuscus",3
"316","72","a7","Ctenochaetus striatus",6
"317","72","a7","Zebrasoma scopas",3
"318","72","a8","Acanthurus nigrofuscus",7
"319","72","a8","Ctenochaetus striatus",2
"320","72","a9",NA,0
"321","72","b1","Acanthurus nigrofuscus",2
"322","72","b1","Ctenochaetus striatus",7
"323","72","b2","Acanthurus nigrofuscus",13
"324","72","b2","Ctenochaetus striatus",10
"325","72","b2","Zebrasoma scopas",5
"326","72","b3","Ctenochaetus striatus",1
"327","72","b4","Acanthurus nigrofuscus",8
"328","72","b4","Ctenochaetus striatus",8
"329","72","b4","Zebrasoma scopas",3
"330","72","b5","Acanthurus nigrofuscus",1
"331","72","b5","Ctenochaetus striatus",4
"332","72","b6","Acanthurus nigrofuscus",13
"333","72","b6","Ctenochaetus striatus",13
"334","72","b6","Zebrasoma scopas",1
"335","72","b7","Acanthurus nigrofuscus",1
"336","72","b7","Ctenochaetus striatus",7
"337","72","b8","Acanthurus nigrofuscus",25
"338","72","b8","Ctenochaetus striatus",9
"339","72","b9","Acanthurus nigrofuscus",6
"340","72","c1","Acanthurus nigrofuscus",4
"341","72","c1","Ctenochaetus striatus",11
"342","72","c2","Acanthurus nigrofuscus",1
"343","72","c2","Ctenochaetus striatus",3
"344","72","c3","Acanthurus nigrofuscus",1
"345","72","c3","Ctenochaetus striatus",6
"346","72","c3","Zebrasoma scopas",1
"347","72","c5","Acanthurus nigrofuscus",1
"348","72","c5","Ctenochaetus striatus",9
"349","72","c5","Zebrasoma scopas",1
"350","72","c7","Ctenochaetus striatus",6
"351","72","c7","Zebrasoma scopas",3
"352","72","c8","Acanthurus nigrofuscus",6
"353","72","c8","Ctenochaetus striatus",7
"354","72","c9","Acanthurus nigrofuscus",3
"355","72","c9","Ctenochaetus striatus",2
"356","72","c9",NA,0
"357","72","d1","Acanthurus nigrofuscus",1
"358","72","d1","Ctenochaetus striatus",2
"359","72","d2","Acanthurus nigrofuscus",4
"360","72","d2","Ctenochaetus striatus",12
"361","72","d2","Zebrasoma scopas",3
"362","72","d3","Acanthurus nigrofuscus",2
"363","72","d3","Ctenochaetus striatus",2
"364","72","d4","Acanthurus nigrofuscus",5
"365","72","d4","Ctenochaetus striatus",5
"366","72","d5","Ctenochaetus striatus",7
"367","72","d6","Acanthurus nigrofuscus",4
"368","72","d6","Ctenochaetus striatus",9
"369","72","d8","Acanthurus nigrofuscus",4
"370","72","d8","Ctenochaetus striatus",4
"371","72","d8","Zebrasoma scopas",1
"372","72","d9","Acanthurus nigrofuscus",1
"373","72","e1","Ctenochaetus striatus",4
"374","72","e2","Zebrasoma scopas",1
